LOCATION,YEAR,BRAND,MODEL,VARIANT,KM_DRIVEN,FUEL,NO_OF_OWNERS,PRICE
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"52,393 km",Diesel,1st Owner,"₹8,60,000"
New Delhi,2015,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,17,450 km",Diesel,2nd Owner,"₹6,76,000"
New Delhi,2018,Tata,NEXON XZ+ 1.5,Manual,"89,608 km",Diesel,1st Owner,"₹7,50,000"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,11,759 km",Diesel,2nd Owner,"₹5,45,000"
New Delhi,2020,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"37,178 km",Petrol,1st Owner,"₹9,50,000"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"74,691 km",Diesel,1st Owner,"₹8,21,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"49,237 km",Diesel,1st Owner,"₹6,57,000"
New Delhi,2016,Mahindra,Kuv100 K8 6 STR,Manual,"50,242 km",Petrol,1st Owner,"₹3,85,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"58,620 km",Diesel,1st Owner,"₹7,29,000"
New Delhi,2013,Renault,Duster RXE PETROL 104,Manual,"28,989 km",Petrol,1st Owner,"₹5,25,000"
New Delhi,2016,Nissan,Terrano XL P,Manual,"38,949 km",Petrol,2nd Owner,"₹5,25,000"
New Delhi,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"31,547 km",Petrol,1st Owner,"₹7,90,000"
New Delhi,2016,Maruti,Vitara Brezza ZDI PLUS,Manual,"64,789 km",Diesel,1st Owner,"₹7,05,000"
New Delhi,2019,Mahindra,Thar CRDE 4X4 BS IV,Manual,"6,609 km",Diesel,1st Owner,"₹10,00,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"78,423 km",Diesel,1st Owner,"₹4,28,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"64,984 km",Diesel,2nd Owner,"₹5,50,000"
New Delhi,2018,Ford,Ecosport TITANIUM PLUS 1.5 TI VCT MT,Manual,"57,314 km",Petrol,1st Owner,"₹7,49,000"
New Delhi,2019,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"24,897 km",Petrol,1st Owner,"₹9,01,000"
New Delhi,2015,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"86,122 km",Diesel,1st Owner,"₹7,60,000"
New Delhi,2018,Mahindra,Scorpio S7 140 BHP 2WD,Manual,"71,335 km",Diesel,1st Owner,"₹11,00,000"
New Delhi,2019,Tata,Harrier XZ 2.0L Kryotec,,"22,790 km",Diesel,1st Owner,"₹17,20,000"
New Delhi,2021,Mahindra,Scorpio S5,,"1,313 km",Diesel,1st Owner,"₹14,30,000"
New Delhi,2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"25,645 km",Petrol,1st Owner,"₹7,99,000"
New Delhi,2014,Renault,Duster 85 PS RXL,Manual,"1,28,979 km",Diesel,3rd Owner,"₹3,25,000"
New Delhi,2017,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"52,989 km",Petrol + CNG,1st Owner,"₹3,35,000"
New Delhi,2015,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"60,410 km",Petrol + CNG,1st Owner,"₹2,75,000"
New Delhi,2019,Renault,TRIBER RXE MT PETROL,Manual,"46,064 km",Petrol,1st Owner,"₹4,46,000"
New Delhi,2020,Maruti,Vitara Brezza VXI,Manual,"7,041 km",Petrol,1st Owner,"₹10,00,000"
New Delhi,2013,Renault,Duster 85 PS RXL,Manual,"64,991 km",Diesel,1st Owner,"₹3,49,000"
New Delhi,2018,Maruti,Vitara Brezza VDI AMT,Manual,"28,932 km",Diesel,1st Owner,"₹8,25,000"
New Delhi,2020,Renault,TRIBER 1.0 RXZ,,"25,232 km",Petrol,1st Owner,"₹6,13,000"
New Delhi,2019,Renault,TRIBER RXE MT PETROL,Manual,"46,068 km",Petrol,1st Owner,"₹4,29,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,Manual,"9,697 km",Petrol,1st Owner,"₹11,85,000"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"50,854 km",Diesel,1st Owner,"₹7,35,000"
New Delhi,2016,Mahindra,Kuv100 K6 D 5 STR,Manual,"59,373 km",Diesel,1st Owner,"₹3,32,000"
New Delhi,2017,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"30,150 km",Diesel,1st Owner,"₹18,40,000"
New Delhi,2016,Honda,BR-V 1.5 i-VTEC V,Manual,"73,487 km",Petrol,1st Owner,"₹6,07,000"
New Delhi,2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"25,955 km",Diesel,1st Owner,"₹9,50,000"
New Delhi,2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"63,165 km",Diesel,1st Owner,"₹4,52,000"
New Delhi,2017,Mahindra,Scorpio S4PLUS,Manual,"56,090 km",Diesel,1st Owner,"₹9,40,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,,"16,928 km",Petrol,1st Owner,"₹12,90,000"
New Delhi,2016,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"96,177 km",Diesel,1st Owner,"₹5,93,000"
New Delhi,2019,Mahindra,Thar CRDE 4X4 BS IV,Manual,"6,609 km",Diesel,1st Owner,"₹10,00,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"78,423 km",Diesel,1st Owner,"₹4,28,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"64,984 km",Diesel,2nd Owner,"₹5,50,000"
New Delhi,2018,Ford,Ecosport TITANIUM PLUS 1.5 TI VCT MT,Manual,"57,314 km",Petrol,1st Owner,"₹7,49,000"
New Delhi,2019,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"24,897 km",Petrol,1st Owner,"₹9,01,000"
New Delhi,2015,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"86,122 km",Diesel,1st Owner,"₹7,60,000"
New Delhi,2018,Mahindra,Scorpio S7 140 BHP 2WD,Manual,"71,335 km",Diesel,1st Owner,"₹11,00,000"
New Delhi,2019,Tata,Harrier XZ 2.0L Kryotec,,"22,790 km",Diesel,1st Owner,"₹17,20,000"
New Delhi,2021,Mahindra,Scorpio S5,,"1,313 km",Diesel,1st Owner,"₹14,30,000"
New Delhi,2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"25,645 km",Petrol,1st Owner,"₹7,99,000"
New Delhi,2014,Renault,Duster 85 PS RXL,Manual,"1,28,979 km",Diesel,3rd Owner,"₹3,25,000"
New Delhi,2017,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"52,989 km",Petrol + CNG,1st Owner,"₹3,35,000"
New Delhi,2015,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"60,410 km",Petrol + CNG,1st Owner,"₹2,75,000"
New Delhi,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"8,454 km",Petrol,1st Owner,"₹4,21,099"
New Delhi,2014,Maruti,Ertiga VDI ABS,Manual,"49,692 km",Diesel,1st Owner,"₹4,93,499"
New Delhi,2016,Maruti,Ertiga VDI SHVS,Manual,"24,744 km",Diesel,1st Owner,"₹6,65,399"
New Delhi,2013,Maruti,Ertiga VDI ABS,Manual,"39,203 km",Diesel,1st Owner,"₹4,81,999"
New Delhi,2019,Maruti,Eeco 7 STR,Manual,"22,796 km",Petrol,1st Owner,"₹4,02,299"
New Delhi,2015,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"27,509 km",Petrol,1st Owner,"₹5,72,699"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"33,572 km",Diesel,1st Owner,"₹6,66,999"
New Delhi,2015,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"45,613 km",Diesel,1st Owner,"₹8,34,399"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"29,804 km",Diesel,1st Owner,"₹7,65,199"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"42,210 km",Diesel,2nd Owner,"₹6,29,399"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"14,976 km",Petrol,2nd Owner,"₹7,38,399"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"19,254 km",Diesel,1st Owner,"₹8,03,799"
New Delhi,2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"9,806 km",Diesel,1st Owner,"₹8,71,199"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"51,673 km",Diesel,2nd Owner,"₹6,75,899"
New Delhi,2015,Renault,Duster RXL PETROL 104,Manual,"48,568 km",Petrol,1st Owner,"₹5,52,999"
New Delhi,2020,Maruti,Ertiga VXI SMART HYBRID AT,Automatic,"16,717 km",Petrol,1st Owner,"₹10,52,880"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"27,711 km",Diesel,1st Owner,"₹8,37,799"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"40,249 km",Diesel,1st Owner,"₹7,24,899"
New Delhi,2018,Hyundai,Creta 1.6 SX AT PETROL,,"20,241 km",Petrol,1st Owner,"₹12,47,299"
New Delhi,2017,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"89,348 km",Diesel,1st Owner,"₹14,54,999"
New Delhi,2015,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"73,147 km",Diesel,2nd Owner,"₹8,11,199"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"67,617 km",Diesel,1st Owner,"₹6,35,799"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,109 km",Diesel,1st Owner,"₹6,98,499"
New Delhi,2018,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"46,874 km",Diesel,1st Owner,"₹7,88,799"
New Delhi,2014,Renault,Duster 85 PS RXL OPT,Manual,"92,860 km",Diesel,2nd Owner,"₹3,75,499"
New Delhi,2019,Nissan,Kicks XV PREMIUM O DUAL TONE,Manual,"63,815 km",Diesel,1st Owner,"₹9,14,999"
New Delhi,2012,Maruti,Ertiga VDI ABS,Manual,"74,320 km",Diesel,1st Owner,"₹4,59,899"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"88,190 km",Diesel,2nd Owner,"₹6,40,999"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"72,364 km",Diesel,2nd Owner,"₹6,54,699"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"93,113 km",Diesel,1st Owner,"₹4,05,899"
New Delhi,2017,Maruti,S Cross ALPHA SHVS,Manual,"86,066 km",Diesel,1st Owner,"₹8,31,599"
New Delhi,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"80,682 km",Diesel,1st Owner,"₹9,65,099"
New Delhi,2018,Maruti,Vitara Brezza LDI OPT,Manual,"74,994 km",Diesel,1st Owner,"₹5,71,299"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"69,639 km",Diesel,2nd Owner,"₹5,65,499"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"84,757 km",Diesel,1st Owner,"₹7,94,599"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,20,943 km",Diesel,2nd Owner,"₹6,15,799"
New Delhi,2015,Maruti,S Cross ALPHA 1.3,Manual,"94,544 km",Diesel,1st Owner,"₹5,58,599"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"83,669 km",Diesel,1st Owner,"₹6,73,699"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"78,346 km",Diesel,1st Owner,"₹6,14,599"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"1,21,293 km",Diesel,1st Owner,"₹4,53,899"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"83,924 km",Petrol,2nd Owner,"₹7,37,499"
New Delhi,2013,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"92,292 km",Diesel,1st Owner,"₹7,22,299"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"1,02,689 km",Diesel,1st Owner,"₹6,71,099"
New Delhi,2017,Mahindra,Bolero Power+ ZLX Micro Hybrid,Manual,"99,643 km",Diesel,1st Owner,"₹6,68,199"
New Delhi,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"80,312 km",Diesel,1st Owner,"₹7,26,999"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"86,384 km",Diesel,1st Owner,"₹8,93,099"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,57,858 km",Diesel,1st Owner,"₹5,74,699"
New Delhi,2014,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"52,149 km",Petrol,1st Owner,"₹4,10,000"
New Delhi,2009,Maruti,Swift Dzire VXI,Manual,"44,248 km",Petrol,1st Owner,"₹2,07,000"
New Delhi,2010,Maruti,Swift Dzire LXI 1.2 BS IV,Manual,"50,475 km",Petrol,1st Owner,"₹2,49,000"
New Delhi,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"56,930 km",Petrol,1st Owner,"₹4,09,000"
New Delhi,2014,Honda,City S MT DIESEL,Manual,"68,242 km",Diesel,1st Owner,"₹5,10,000"
New Delhi,2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"34,101 km",Petrol,2nd Owner,"₹5,75,000"
New Delhi,2010,Honda,City V MT PETROL,Manual,"90,470 km",Petrol,2nd Owner,"₹2,60,000"
New Delhi,2018,Maruti,Ciaz ZETA 1.4 VVT,Manual,"9,718 km",Petrol,1st Owner,"₹8,50,000"
New Delhi,2015,Maruti,Swift Dzire VDI BS IV,Manual,"69,968 km",Diesel,1st Owner,"₹4,58,000"
New Delhi,2017,Maruti,Swift Dzire VDI BS IV,Manual,"21,346 km",Diesel,1st Owner,"₹6,25,000"
New Delhi,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"59,481 km",Petrol,1st Owner,"₹2,75,000"
New Delhi,2017,Honda,City VX CVT PETROL,Automatic,"43,325 km",Petrol,2nd Owner,"₹8,50,000"
New Delhi,2015,Maruti,Swift Dzire VDI BS IV,Manual,"80,515 km",Diesel,1st Owner,"₹4,05,000"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"78,182 km",Diesel,1st Owner,"₹3,40,000"
New Delhi,2012,Nissan,Sunny XL PETROL,Manual,"83,029 km",Petrol,1st Owner,"₹2,79,942"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"92,768 km",Diesel,1st Owner,"₹4,17,000"
New Delhi,2018,Honda,City VX MT PETROL,Manual,"48,815 km",Petrol,1st Owner,"₹8,76,000"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"86,392 km",Petrol,1st Owner,"₹4,25,000"
New Delhi,2014,Honda,City SV MT DIESEL,Manual,"85,140 km",Diesel,1st Owner,"₹4,93,000"
New Delhi,2018,Hyundai,Verna 1.6 CRDI SX + AT,Automatic,"34,867 km",Diesel,1st Owner,"₹10,25,000"
New Delhi,2013,Volkswagen,Vento COMFORTLINE DIESEL,Manual,"95,569 km",Diesel,1st Owner,"₹2,87,000"
New Delhi,2017,Maruti,Dzire VXI,Manual,"77,926 km",Petrol,1st Owner,"₹6,00,000"
New Delhi,2021,Honda,Amaze 1.2 SMT I VTEC,Manual,"6,462 km",Petrol,1st Owner,"₹7,50,000"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"34,878 km",Petrol,1st Owner,"₹3,64,000"
New Delhi,2014,Skoda,Rapid ELEGANCE 1.6 MPFI AT,Automatic,"64,504 km",Petrol,2nd Owner,"₹4,65,000"
New Delhi,2012,Honda,City V MT PETROL,Manual,"55,376 km",Petrol,2nd Owner,"₹3,57,000"
New Delhi,2012,Maruti,Swift Dzire LXI 1.2 BS IV,Manual,"20,875 km",Petrol,1st Owner,"₹3,65,000"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"48,260 km",Diesel,1st Owner,"₹4,30,000"
New Delhi,2015,Maruti,Swift Dzire VXI REGALIA,,"57,447 km",Petrol,1st Owner,"₹4,14,000"
New Delhi,2014,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"55,392 km",Petrol,1st Owner,"₹5,15,000"
New Delhi,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"33,082 km",Petrol,1st Owner,"₹4,72,000"
New Delhi,2015,Honda,Amaze 1.5 SMT I DTEC,Manual,"70,311 km",Diesel,1st Owner,"₹3,70,000"
New Delhi,2016,Volkswagen,Ameo COMFORTLINE 1.2,Manual,"50,642 km",Petrol,1st Owner,"₹4,22,000"
New Delhi,2018,Honda,Amaze 1.2 S (O) MT I VTEC,Manual,"23,617 km",Petrol,1st Owner,"₹5,21,000"
New Delhi,2020,Honda,City ZX CVT,Automatic,"21,158 km",Petrol,1st Owner,"₹13,77,000"
New Delhi,2018,Maruti,Dzire VXI,Manual,"32,217 km",Petrol,1st Owner,"₹6,12,000"
New Delhi,2016,Maruti,Ciaz SHVS VDI,,"42,165 km",Diesel,1st Owner,"₹6,25,000"
New Delhi,2018,Hyundai,Verna 1.6 CRDI SX,Manual,"54,858 km",Diesel,1st Owner,"₹8,50,000"
New Delhi,2014,Hyundai,Verna FLUIDIC 1.4 CRDI,Manual,"56,811 km",Diesel,1st Owner,"₹5,35,000"
New Delhi,2014,Honda,City SV MT DIESEL,Manual,"79,358 km",Diesel,1st Owner,"₹4,92,000"
New Delhi,2011,Volkswagen,Vento ALL STAR 1.6 MPI,Manual,"45,868 km",Petrol,1st Owner,"₹2,65,000"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"69,553 km",Petrol,3rd Owner,"₹3,25,000"
New Delhi,2010,Maruti,SX4 ZXI,Manual,"34,873 km",Petrol,1st Owner,"₹2,54,000"
New Delhi,2019,Maruti,Swift Dzire TOUR S CNG,Manual,"43,018 km",Petrol + CNG,1st Owner,"₹4,94,000"
New Delhi,2016,Maruti,Ciaz VDI (O) SHVS HYBIRD,,"51,094 km",Diesel,1st Owner,"₹5,30,000"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"80,246 km",Diesel,1st Owner,"₹2,87,628"
New Delhi,2011,Honda,City S MT PETROL,Manual,"1,34,123 km",Petrol,2nd Owner,"₹3,25,000"
New Delhi,2015,Honda,City 1.5 E MT PETROL,Manual,"15,661 km",Petrol,1st Owner,"₹6,10,000"
New Delhi,2012,Maruti,Swift Dzire LXI 1.2 BS IV,Manual,"20,883 km",Petrol,1st Owner,"₹3,65,000"
New Delhi,2019,Volkswagen,Ameo COMFORTLINE 1.0,Manual,"19,951 km",Petrol,1st Owner,"₹5,25,000"
New Delhi,2009,Tata,Manza AURA SAFIRE BS IV,Manual,"49,257 km",Petrol,1st Owner,"₹1,45,000"
New Delhi,2013,Honda,Amaze 1.5 VXMT I DTEC,Manual,"69,636 km",Diesel,1st Owner,"₹3,09,000"
New Delhi,2016,Maruti,Ciaz VDI+ SHVS,Manual,"26,477 km",Diesel,1st Owner,"₹6,75,000"
New Delhi,2018,Hyundai,Verna 1.6 SX+ VTVT AT,,"35,447 km",Petrol,1st Owner,"₹10,14,000"
New Delhi,2010,Maruti,SX4 VXI,Manual,"1,00,322 km",Petrol,1st Owner,"₹1,95,000"
New Delhi,2018,Hyundai,Verna EX 1.6 AT CRDI,Automatic,"84,830 km",Diesel,1st Owner,"₹9,75,000"
New Delhi,2017,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"71,358 km",Diesel,1st Owner,"₹6,75,000"
New Delhi,2015,Honda,Amaze 1.5 SX MT I DTEC,Manual,"70,686 km",Diesel,1st Owner,"₹4,70,000"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"88,295 km",Diesel,1st Owner,"₹3,00,000"
New Delhi,2010,Honda,Accord 2.4 MT,Manual,"64,618 km",Petrol,2nd Owner,"₹3,00,000"
New Delhi,2014,Honda,City S MT DIESEL,Manual,"62,332 km",Diesel,2nd Owner,"₹4,19,000"
